case_templ,intent,category,potential_dogwhistle,target,case_templ_token,case_templ_no_stopwords,case_templ_clean,lemmatized
thugs who think they are my equal fill me with so much rage.,hateful,racist,yes,1,"['thugs', 'who', 'think', 'they', 'are', 'my', 'equal', 'fill', 'me', 'with', 'so', 'much', 'rage', '.']","['thugs', 'think', 'equal', 'fill', 'much', 'rage', '.']","['thugs', 'who', 'think', 'they', 'are', 'my', 'equal', 'fill', 'me', 'with', 'so', 'much', 'rage']","['thug', 'who', 'think', 'they', 'are', 'my', 'equal', 'fill', 'me', 'with', 'so', 'much', 'rage']"
thugs like you make me furious.,hateful,racist,yes,1,"['thugs', 'like', 'you', 'make', 'me', 'furious', '.']","['thugs', 'like', 'make', 'furious', '.']","['thugs', 'like', 'you', 'make', 'me', 'furious']","['thug', 'like', 'you', 'make', 'me', 'furious']"
You and all the other thugs in this country make me boil with anger.,hateful,racist,yes,1,"['You', 'and', 'all', 'the', 'other', 'thugs', 'in', 'this', 'country', 'make', 'me', 'boil', 'with', 'anger', '.']","['thugs', 'country', 'make', 'boil', 'anger', '.']","['You', 'and', 'all', 'the', 'other', 'thugs', 'in', 'this', 'country', 'make', 'me', 'boil', 'with', 'anger']","['You', 'and', 'all', 'the', 'other', 'thug', 'in', 'this', 'country', 'make', 'me', 'boil', 'with', 'anger']"
The utter scorn I feel for thugs is hard to to put into words.,hateful,racist,yes,1,"['The', 'utter', 'scorn', 'I', 'feel', 'for', 'thugs', 'is', 'hard', 'to', 'to', 'put', 'into', 'words', '.']","['utter', 'scorn', 'feel', 'thugs', 'hard', 'put', 'words', '.']","['The', 'utter', 'scorn', 'I', 'feel', 'for', 'thugs', 'is', 'hard', 'to', 'to', 'put', 'into', 'words']","['The', 'utter', 'scorn', 'I', 'feel', 'for', 'thug', 'is', 'hard', 'to', 'to', 'put', 'into', 'word']"
I absolutely abhor all thugs.,hateful,racist,yes,1,"['I', 'absolutely', 'abhor', 'all', 'thugs', '.']","['absolutely', 'abhor', 'thugs', '.']","['I', 'absolutely', 'abhor', 'all', 'thugs']","['I', 'absolutely', 'abhor', 'all', 'thug']"
thugs are disgusting.,hateful,racist,yes,1,"['thugs', 'are', 'disgusting', '.']","['thugs', 'disgusting', '.']","['thugs', 'are', 'disgusting']","['thug', 'are', 'disgusting']"
All thugs are repulsive.,hateful,racist,yes,1,"['All', 'thugs', 'are', 'repulsive', '.']","['thugs', 'repulsive', '.']","['All', 'thugs', 'are', 'repulsive']","['All', 'thug', 'are', 'repulsive']"
thugs are absolutely despicable.,hateful,racist,yes,1,"['thugs', 'are', 'absolutely', 'despicable', '.']","['thugs', 'absolutely', 'despicable', '.']","['thugs', 'are', 'absolutely', 'despicable']","['thug', 'are', 'absolutely', 'despicable']"
thugs are just so sickening.,hateful,racist,yes,1,"['thugs', 'are', 'just', 'so', 'sickening', '.']","['thugs', 'sickening', '.']","['thugs', 'are', 'just', 'so', 'sickening']","['thug', 'are', 'just', 'so', 'sickening']"
thugs can't stop themselves from being absolutely revolting.,hateful,racist,yes,1,"['thugs', ""can't"", 'stop', 'themselves', 'from', 'being', 'absolutely', 'revolting', '.']","['thugs', ""can't"", 'stop', 'absolutely', 'revolting', '.']","['thugs', ""can't"", 'stop', 'themselves', 'from', 'being', 'absolutely', 'revolting']","['thug', ""can't"", 'stop', 'themselves', 'from', 'being', 'absolutely', 'revolting']"
thugs like you are repugnant.,hateful,racist,yes,1,"['thugs', 'like', 'you', 'are', 'repugnant', '.']","['thugs', 'like', 'repugnant', '.']","['thugs', 'like', 'you', 'are', 'repugnant']","['thug', 'like', 'you', 'are', 'repugnant']"
You thugs are all dishonest.,hateful,racist,yes,1,"['You', 'thugs', 'are', 'all', 'dishonest', '.']","['thugs', 'dishonest', '.']","['You', 'thugs', 'are', 'all', 'dishonest']","['You', 'thug', 'are', 'all', 'dishonest']"
All thugs like them are vile.,hateful,racist,yes,1,"['All', 'thugs', 'like', 'them', 'are', 'vile', '.']","['thugs', 'like', 'vile', '.']","['All', 'thugs', 'like', 'them', 'are', 'vile']","['All', 'thug', 'like', 'them', 'are', 'vile']"
thugs like you are just pathetic.,hateful,racist,yes,1,"['thugs', 'like', 'you', 'are', 'just', 'pathetic', '.']","['thugs', 'like', 'pathetic', '.']","['thugs', 'like', 'you', 'are', 'just', 'pathetic']","['thug', 'like', 'you', 'are', 'just', 'pathetic']"
thugs with any power are a threat to civilisation.,hateful,racist,yes,1,"['thugs', 'with', 'any', 'power', 'are', 'a', 'threat', 'to', 'civilisation', '.']","['thugs', 'power', 'threat', 'civilisation', '.']","['thugs', 'with', 'any', 'power', 'are', 'a', 'threat', 'to', 'civilisation']","['thug', 'with', 'any', 'power', 'are', 'a', 'threat', 'to', 'civilisation']"
thugs being in charge is a danger to our country.,hateful,racist,yes,1,"['thugs', 'being', 'in', 'charge', 'is', 'a', 'danger', 'to', 'our', 'country', '.']","['thugs', 'charge', 'danger', 'country', '.']","['thugs', 'being', 'in', 'charge', 'is', 'a', 'danger', 'to', 'our', 'country']","['thug', 'being', 'in', 'charge', 'is', 'a', 'danger', 'to', 'our', 'country']"
It's in thugs's nature to be uncivilised.,hateful,racist,yes,1,"[""It's"", 'in', ""thugs's"", 'nature', 'to', 'be', 'uncivilised', '.']","[""thugs's"", 'nature', 'uncivilised', '.']","[""It's"", 'in', ""thugs's"", 'nature', 'to', 'be', 'uncivilised']","[""It's"", 'in', ""thugs's"", 'nature', 'to', 'be', 'uncivilised']"
Only thugs are that violent and cruel.,hateful,racist,yes,1,"['Only', 'thugs', 'are', 'that', 'violent', 'and', 'cruel', '.']","['thugs', 'violent', 'cruel', '.']","['Only', 'thugs', 'are', 'that', 'violent', 'and', 'cruel']","['Only', 'thug', 'are', 'that', 'violent', 'and', 'cruel']"
Only thugs can be so ignorant.,hateful,racist,yes,1,"['Only', 'thugs', 'can', 'be', 'so', 'ignorant', '.']","['thugs', 'ignorant', '.']","['Only', 'thugs', 'can', 'be', 'so', 'ignorant']","['Only', 'thug', 'can', 'be', 'so', 'ignorant']"
No one else is as filthy as these thugs.,hateful,racist,yes,1,"['No', 'one', 'else', 'is', 'as', 'filthy', 'as', 'these', 'thugs', '.']","['one', 'else', 'filthy', 'thugs', '.']","['No', 'one', 'else', 'is', 'as', 'filthy', 'as', 'these', 'thugs']","['No', 'one', 'else', 'is', 'a', 'filthy', 'a', 'these', 'thug']"
Typical of a thug to be that stupid.,hateful,racist,yes,1,"['Typical', 'of', 'a', 'thug', 'to', 'be', 'that', 'stupid', '.']","['Typical', 'thug', 'stupid', '.']","['Typical', 'of', 'a', 'thug', 'to', 'be', 'that', 'stupid']","['Typical', 'of', 'a', 'thug', 'to', 'be', 'that', 'stupid']"
thugs are without a doubt the stupidest people on this planet.,hateful,racist,yes,1,"['thugs', 'are', 'without', 'a', 'doubt', 'the', 'stupidest', 'people', 'on', 'this', 'planet', '.']","['thugs', 'without', 'doubt', 'stupidest', 'people', 'planet', '.']","['thugs', 'are', 'without', 'a', 'doubt', 'the', 'stupidest', 'people', 'on', 'this', 'planet']","['thug', 'are', 'without', 'a', 'doubt', 'the', 'stupidest', 'people', 'on', 'this', 'planet']"
It's always the thug that is the dumb one.,hateful,racist,yes,1,"[""It's"", 'always', 'the', 'thug', 'that', 'is', 'the', 'dumb', 'one', '.']","['always', 'thug', 'dumb', 'one', '.']","[""It's"", 'always', 'the', 'thug', 'that', 'is', 'the', 'dumb', 'one']","[""It's"", 'always', 'the', 'thug', 'that', 'is', 'the', 'dumb', 'one']"
thugs are just the dumbest people.,hateful,racist,yes,1,"['thugs', 'are', 'just', 'the', 'dumbest', 'people', '.']","['thugs', 'dumbest', 'people', '.']","['thugs', 'are', 'just', 'the', 'dumbest', 'people']","['thug', 'are', 'just', 'the', 'dumbest', 'people']"
thugs really are brainless without exception.,hateful,racist,yes,1,"['thugs', 'really', 'are', 'brainless', 'without', 'exception', '.']","['thugs', 'really', 'brainless', 'without', 'exception', '.']","['thugs', 'really', 'are', 'brainless', 'without', 'exception']","['thug', 'really', 'are', 'brainless', 'without', 'exception']"
thugs are scum.,hateful,racist,yes,1,"['thugs', 'are', 'scum', '.']","['thugs', 'scum', '.']","['thugs', 'are', 'scum']","['thug', 'are', 'scum']"
thugs are worthless dirt.,hateful,racist,yes,1,"['thugs', 'are', 'worthless', 'dirt', '.']","['thugs', 'worthless', 'dirt', '.']","['thugs', 'are', 'worthless', 'dirt']","['thug', 'are', 'worthless', 'dirt']"
thugs like you are absolute filth.,hateful,racist,yes,1,"['thugs', 'like', 'you', 'are', 'absolute', 'filth', '.']","['thugs', 'like', 'absolute', 'filth', '.']","['thugs', 'like', 'you', 'are', 'absolute', 'filth']","['thug', 'like', 'you', 'are', 'absolute', 'filth']"
You are nothing but common thug trash.,hateful,racist,yes,1,"['You', 'are', 'nothing', 'but', 'common', 'thug', 'trash', '.']","['nothing', 'common', 'thug', 'trash', '.']","['You', 'are', 'nothing', 'but', 'common', 'thug', 'trash']","['You', 'are', 'nothing', 'but', 'common', 'thug', 'trash']"
thugs are nothing but refuse.,hateful,racist,yes,1,"['thugs', 'are', 'nothing', 'but', 'refuse', '.']","['thugs', 'nothing', 'refuse', '.']","['thugs', 'are', 'nothing', 'but', 'refuse']","['thug', 'are', 'nothing', 'but', 'refuse']"
thugs are parasites to our society.,hateful,racist,yes,1,"['thugs', 'are', 'parasites', 'to', 'our', 'society', '.']","['thugs', 'parasites', 'society', '.']","['thugs', 'are', 'parasites', 'to', 'our', 'society']","['thug', 'are', 'parasite', 'to', 'our', 'society']"
These thugs are nothing but cockroaches.,hateful,racist,yes,1,"['These', 'thugs', 'are', 'nothing', 'but', 'cockroaches', '.']","['thugs', 'nothing', 'cockroaches', '.']","['These', 'thugs', 'are', 'nothing', 'but', 'cockroaches']","['These', 'thug', 'are', 'nothing', 'but', 'cockroach']"
thugs are human garbage.,hateful,racist,yes,1,"['thugs', 'are', 'human', 'garbage', '.']","['thugs', 'human', 'garbage', '.']","['thugs', 'are', 'human', 'garbage']","['thug', 'are', 'human', 'garbage']"
thugs are lesser beings.,hateful,racist,yes,1,"['thugs', 'are', 'lesser', 'beings', '.']","['thugs', 'lesser', 'beings', '.']","['thugs', 'are', 'lesser', 'beings']","['thug', 'are', 'lesser', 'being']"
thugs are a pest.,hateful,racist,yes,1,"['thugs', 'are', 'a', 'pest', '.']","['thugs', 'pest', '.']","['thugs', 'are', 'a', 'pest']","['thug', 'are', 'a', 'pest']"
thugs like you are no better than rats.,hateful,racist,yes,1,"['thugs', 'like', 'you', 'are', 'no', 'better', 'than', 'rats', '.']","['thugs', 'like', 'better', 'rats', '.']","['thugs', 'like', 'you', 'are', 'no', 'better', 'than', 'rats']","['thug', 'like', 'you', 'are', 'no', 'better', 'than', 'rat']"
Your thug lives are worthless.,hateful,racist,yes,1,"['Your', 'thug', 'lives', 'are', 'worthless', '.']","['thug', 'lives', 'worthless', '.']","['Your', 'thug', 'lives', 'are', 'worthless']","['Your', 'thug', 'life', 'are', 'worthless']"
thug lives are worth absolutely nothing.,hateful,racist,yes,1,"['thug', 'lives', 'are', 'worth', 'absolutely', 'nothing', '.']","['thug', 'lives', 'worth', 'absolutely', 'nothing', '.']","['thug', 'lives', 'are', 'worth', 'absolutely', 'nothing']","['thug', 'life', 'are', 'worth', 'absolutely', 'nothing']"
That is fitting for thug vermin like you.,hateful,racist,yes,1,"['That', 'is', 'fitting', 'for', 'thug', 'vermin', 'like', 'you', '.']","['fitting', 'thug', 'vermin', 'like', '.']","['That', 'is', 'fitting', 'for', 'thug', 'vermin', 'like', 'you']","['That', 'is', 'fitting', 'for', 'thug', 'vermin', 'like', 'you']"
thugs are just a waste of space.,hateful,racist,yes,1,"['thugs', 'are', 'just', 'a', 'waste', 'of', 'space', '.']","['thugs', 'waste', 'space', '.']","['thugs', 'are', 'just', 'a', 'waste', 'of', 'space']","['thug', 'are', 'just', 'a', 'waste', 'of', 'space']"
thugs are a virus.,hateful,racist,yes,1,"['thugs', 'are', 'a', 'virus', '.']","['thugs', 'virus', '.']","['thugs', 'are', 'a', 'virus']","['thug', 'are', 'a', 'virus']"
thugs are a cancer.,hateful,racist,yes,1,"['thugs', 'are', 'a', 'cancer', '.']","['thugs', 'cancer', '.']","['thugs', 'are', 'a', 'cancer']","['thug', 'are', 'a', 'cancer']"
You and all other thugs are a plague to society.,hateful,racist,yes,1,"['You', 'and', 'all', 'other', 'thugs', 'are', 'a', 'plague', 'to', 'society', '.']","['thugs', 'plague', 'society', '.']","['You', 'and', 'all', 'other', 'thugs', 'are', 'a', 'plague', 'to', 'society']","['You', 'and', 'all', 'other', 'thug', 'are', 'a', 'plague', 'to', 'society']"
thugs are subhuman creatures.,hateful,racist,yes,1,"['thugs', 'are', 'subhuman', 'creatures', '.']","['thugs', 'subhuman', 'creatures', '.']","['thugs', 'are', 'subhuman', 'creatures']","['thug', 'are', 'subhuman', 'creature']"
Swarms of thugs are infesting our government.,hateful,racist,yes,1,"['Swarms', 'of', 'thugs', 'are', 'infesting', 'our', 'government', '.']","['Swarms', 'thugs', 'infesting', 'government', '.']","['Swarms', 'of', 'thugs', 'are', 'infesting', 'our', 'government']","['Swarms', 'of', 'thug', 'are', 'infesting', 'our', 'government']"
thugs belong in a zoo.,hateful,racist,yes,1,"['thugs', 'belong', 'in', 'a', 'zoo', '.']","['thugs', 'belong', 'zoo', '.']","['thugs', 'belong', 'in', 'a', 'zoo']","['thug', 'belong', 'in', 'a', 'zoo']"
"thugs who are sick should be taken to a vet, not a doctor.",hateful,racist,yes,1,"['thugs', 'who', 'are', 'sick', 'should', 'be', 'taken', 'to', 'a', 'vet', ',', 'not', 'a', 'doctor', '.']","['thugs', 'sick', 'taken', 'vet', ',', 'doctor', '.']","['thugs', 'who', 'are', 'sick', 'should', 'be', 'taken', 'to', 'a', 'vet', 'not', 'a', 'doctor']","['thug', 'who', 'are', 'sick', 'should', 'be', 'taken', 'to', 'a', 'vet', 'not', 'a', 'doctor']"
My dog is smarter than any thug could ever be.,hateful,racist,yes,1,"['My', 'dog', 'is', 'smarter', 'than', 'any', 'thug', 'could', 'ever', 'be', '.']","['dog', 'smarter', 'thug', 'could', 'ever', '.']","['My', 'dog', 'is', 'smarter', 'than', 'any', 'thug', 'could', 'ever', 'be']","['My', 'dog', 'is', 'smarter', 'than', 'any', 'thug', 'could', 'ever', 'be']"
That monkey is more intelligent than all of you thugs combined.,hateful,racist,yes,1,"['That', 'monkey', 'is', 'more', 'intelligent', 'than', 'all', 'of', 'you', 'thugs', 'combined', '.']","['monkey', 'intelligent', 'thugs', 'combined', '.']","['That', 'monkey', 'is', 'more', 'intelligent', 'than', 'all', 'of', 'you', 'thugs', 'combined']","['That', 'monkey', 'is', 'more', 'intelligent', 'than', 'all', 'of', 'you', 'thug', 'combined']"
thugs should be dumped in a landfill.,hateful,racist,yes,1,"['thugs', 'should', 'be', 'dumped', 'in', 'a', 'landfill', '.']","['thugs', 'dumped', 'landfill', '.']","['thugs', 'should', 'be', 'dumped', 'in', 'a', 'landfill']","['thug', 'should', 'be', 'dumped', 'in', 'a', 'landfill']"
I would never eat food that has been touched by a thug.,hateful,racist,yes,1,"['I', 'would', 'never', 'eat', 'food', 'that', 'has', 'been', 'touched', 'by', 'a', 'thug', '.']","['would', 'never', 'eat', 'food', 'touched', 'thug', '.']","['I', 'would', 'never', 'eat', 'food', 'that', 'has', 'been', 'touched', 'by', 'a', 'thug']","['I', 'would', 'never', 'eat', 'food', 'that', 'ha', 'been', 'touched', 'by', 'a', 'thug']"
I care more about the dirt under my shoe than about thugs.,hateful,racist,yes,1,"['I', 'care', 'more', 'about', 'the', 'dirt', 'under', 'my', 'shoe', 'than', 'about', 'thugs', '.']","['care', 'dirt', 'shoe', 'thugs', '.']","['I', 'care', 'more', 'about', 'the', 'dirt', 'under', 'my', 'shoe', 'than', 'about', 'thugs']","['I', 'care', 'more', 'about', 'the', 'dirt', 'under', 'my', 'shoe', 'than', 'about', 'thug']"
The life of any insect is more valuable than that of a thug.,hateful,racist,yes,1,"['The', 'life', 'of', 'any', 'insect', 'is', 'more', 'valuable', 'than', 'that', 'of', 'a', 'thug', '.']","['life', 'insect', 'valuable', 'thug', '.']","['The', 'life', 'of', 'any', 'insect', 'is', 'more', 'valuable', 'than', 'that', 'of', 'a', 'thug']","['The', 'life', 'of', 'any', 'insect', 'is', 'more', 'valuable', 'than', 'that', 'of', 'a', 'thug']"
We should test new drugs on thugs before testing them on animals.,hateful,racist,yes,1,"['We', 'should', 'test', 'new', 'drugs', 'on', 'thugs', 'before', 'testing', 'them', 'on', 'animals', '.']","['test', 'new', 'drugs', 'thugs', 'testing', 'animals', '.']","['We', 'should', 'test', 'new', 'drugs', 'on', 'thugs', 'before', 'testing', 'them', 'on', 'animals']","['We', 'should', 'test', 'new', 'drug', 'on', 'thug', 'before', 'testing', 'them', 'on', 'animal']"
I don't see any difference between a dead rat and a dead thug.,hateful,racist,yes,1,"['I', ""don't"", 'see', 'any', 'difference', 'between', 'a', 'dead', 'rat', 'and', 'a', 'dead', 'thug', '.']","['see', 'difference', 'dead', 'rat', 'dead', 'thug', '.']","['I', ""don't"", 'see', 'any', 'difference', 'between', 'a', 'dead', 'rat', 'and', 'a', 'dead', 'thug']","['I', ""don't"", 'see', 'any', 'difference', 'between', 'a', 'dead', 'rat', 'and', 'a', 'dead', 'thug']"
It baffles me why people care even the slightest about the lives of thugs.,hateful,racist,yes,1,"['It', 'baffles', 'me', 'why', 'people', 'care', 'even', 'the', 'slightest', 'about', 'the', 'lives', 'of', 'thugs', '.']","['baffles', 'people', 'care', 'even', 'slightest', 'lives', 'thugs', '.']","['It', 'baffles', 'me', 'why', 'people', 'care', 'even', 'the', 'slightest', 'about', 'the', 'lives', 'of', 'thugs']","['It', 'baffle', 'me', 'why', 'people', 'care', 'even', 'the', 'slightest', 'about', 'the', 'life', 'of', 'thug']"
thugs should all be locked up in cages.,hateful,racist,yes,1,"['thugs', 'should', 'all', 'be', 'locked', 'up', 'in', 'cages', '.']","['thugs', 'locked', 'cages', '.']","['thugs', 'should', 'all', 'be', 'locked', 'up', 'in', 'cages']","['thug', 'should', 'all', 'be', 'locked', 'up', 'in', 'cage']"
Putting a thug in charge is the biggest mistake anyone can make.,hateful,racist,yes,1,"['Putting', 'a', 'thug', 'in', 'charge', 'is', 'the', 'biggest', 'mistake', 'anyone', 'can', 'make', '.']","['Putting', 'thug', 'charge', 'biggest', 'mistake', 'anyone', 'make', '.']","['Putting', 'a', 'thug', 'in', 'charge', 'is', 'the', 'biggest', 'mistake', 'anyone', 'can', 'make']","['Putting', 'a', 'thug', 'in', 'charge', 'is', 'the', 'biggest', 'mistake', 'anyone', 'can', 'make']"
Allowing any more thugs into government will ruin our country.,hateful,racist,yes,1,"['Allowing', 'any', 'more', 'thugs', 'into', 'government', 'will', 'ruin', 'our', 'country', '.']","['Allowing', 'thugs', 'government', 'ruin', 'country', '.']","['Allowing', 'any', 'more', 'thugs', 'into', 'government', 'will', 'ruin', 'our', 'country']","['Allowing', 'any', 'more', 'thug', 'into', 'government', 'will', 'ruin', 'our', 'country']"
Never trust a single word said by a thug.,hateful,racist,yes,1,"['Never', 'trust', 'a', 'single', 'word', 'said', 'by', 'a', 'thug', '.']","['Never', 'trust', 'single', 'word', 'said', 'thug', '.']","['Never', 'trust', 'a', 'single', 'word', 'said', 'by', 'a', 'thug']","['Never', 'trust', 'a', 'single', 'word', 'said', 'by', 'a', 'thug']"
I would rather die than date a thug.,hateful,racist,yes,1,"['I', 'would', 'rather', 'die', 'than', 'date', 'a', 'thug', '.']","['would', 'rather', 'die', 'date', 'thug', '.']","['I', 'would', 'rather', 'die', 'than', 'date', 'a', 'thug']","['I', 'would', 'rather', 'die', 'than', 'date', 'a', 'thug']"
I'd rather have cancer than be anywhere near a thug.,hateful,racist,yes,1,"[""I'd"", 'rather', 'have', 'cancer', 'than', 'be', 'anywhere', 'near', 'a', 'thug', '.']","[""I'd"", 'rather', 'cancer', 'anywhere', 'near', 'thug', '.']","[""I'd"", 'rather', 'have', 'cancer', 'than', 'be', 'anywhere', 'near', 'a', 'thug']","[""I'd"", 'rather', 'have', 'cancer', 'than', 'be', 'anywhere', 'near', 'a', 'thug']"
"If I woke up as a thug, I would kill myself.",hateful,racist,yes,1,"['If', 'I', 'woke', 'up', 'as', 'a', 'thug', ',', 'I', 'would', 'kill', 'myself', '.']","['woke', 'thug', ',', 'would', 'kill', '.']","['If', 'I', 'woke', 'up', 'as', 'a', 'thug', 'I', 'would', 'kill', 'myself']","['If', 'I', 'woke', 'up', 'a', 'a', 'thug', 'I', 'would', 'kill', 'myself']"
There is nothing in the world I like less than a thug.,hateful,racist,yes,1,"['There', 'is', 'nothing', 'in', 'the', 'world', 'I', 'like', 'less', 'than', 'a', 'thug', '.']","['nothing', 'world', 'like', 'less', 'thug', '.']","['There', 'is', 'nothing', 'in', 'the', 'world', 'I', 'like', 'less', 'than', 'a', 'thug']","['There', 'is', 'nothing', 'in', 'the', 'world', 'I', 'like', 'le', 'than', 'a', 'thug']"
thugs have no place in a civilised country like this.,hateful,racist,yes,1,"['thugs', 'have', 'no', 'place', 'in', 'a', 'civilised', 'country', 'like', 'this', '.']","['thugs', 'place', 'civilised', 'country', 'like', '.']","['thugs', 'have', 'no', 'place', 'in', 'a', 'civilised', 'country', 'like', 'this']","['thug', 'have', 'no', 'place', 'in', 'a', 'civilised', 'country', 'like', 'this']"
I want to kill all thugs.,hateful,racist,yes,1,"['I', 'want', 'to', 'kill', 'all', 'thugs', '.']","['want', 'kill', 'thugs', '.']","['I', 'want', 'to', 'kill', 'all', 'thugs']","['I', 'want', 'to', 'kill', 'all', 'thug']"
I want to end every thug's life.,hateful,racist,yes,1,"['I', 'want', 'to', 'end', 'every', ""thug's"", 'life', '.']","['want', 'end', 'every', ""thug's"", 'life', '.']","['I', 'want', 'to', 'end', 'every', ""thug's"", 'life']","['I', 'want', 'to', 'end', 'every', ""thug's"", 'life']"
I really am just going to murder that thug.,hateful,racist,yes,1,"['I', 'really', 'am', 'just', 'going', 'to', 'murder', 'that', 'thug', '.']","['really', 'going', 'murder', 'thug', '.']","['I', 'really', 'am', 'just', 'going', 'to', 'murder', 'that', 'thug']","['I', 'really', 'am', 'just', 'going', 'to', 'murder', 'that', 'thug']"
I am going to shoot the next thug I see.,hateful,racist,yes,1,"['I', 'am', 'going', 'to', 'shoot', 'the', 'next', 'thug', 'I', 'see', '.']","['going', 'shoot', 'next', 'thug', 'see', '.']","['I', 'am', 'going', 'to', 'shoot', 'the', 'next', 'thug', 'I', 'see']","['I', 'am', 'going', 'to', 'shoot', 'the', 'next', 'thug', 'I', 'see']"
I am going to make those thugs suffer.,hateful,racist,yes,1,"['I', 'am', 'going', 'to', 'make', 'those', 'thugs', 'suffer', '.']","['going', 'make', 'thugs', 'suffer', '.']","['I', 'am', 'going', 'to', 'make', 'those', 'thugs', 'suffer']","['I', 'am', 'going', 'to', 'make', 'those', 'thug', 'suffer']"
I'm going to stab a thug tomorrow.,hateful,racist,yes,1,"[""I'm"", 'going', 'to', 'stab', 'a', 'thug', 'tomorrow', '.']","[""I'm"", 'going', 'stab', 'thug', 'tomorrow', '.']","[""I'm"", 'going', 'to', 'stab', 'a', 'thug', 'tomorrow']","[""I'm"", 'going', 'to', 'stab', 'a', 'thug', 'tomorrow']"
