lemmatized,target
"['people', 'understand', 'thug', 'violent', 'cruel']",1
"['typical', 'thug', 'stupid']",1
"['thug', 'repulsive']",1
"['clear', 'thug', 'human', 'garbage']",1
"['people', 'recognise', 'thug', 'life', 'worth', 'absolutely', 'nothing']",1
"['finally', 'agree', 'thug', 'cancer']",1
"['killed', 'thug']",1
"['cut', ""thugs's"", 'throat']",1
"['get', 'rid', 'thug']",1
"['mistake', 'saying', 'thug', 'like', 'deserve', 'die']",1
"['apparent', 'would', 'better', 'thug', 'eradicated']",1
"['wrong', 'think', 'kind', 'thug', 'ought', 'executed']",1
"['error', 'thinking', 'thug', 'life', 'worth', 'shit']",1
"['thug', 'complete', 'asshole']",1
"['finally', 'clear', 'people', ""thug's"", 'nature', 'annoying', 'prick']",1
"['find', 'thug', 'disgusting']",1
"['firmly', 'believe', 'thug', 'ignorant']",1
"['think', 'typical', 'thug', 'stupid']",1
"['really', 'think', 'thug', 'dumbest', 'people']",1
"['thug', 'scum']",1
"['opinion', 'thug', 'worthless', 'dirt']",1
"['far', 'concerned', 'thug', 'human', 'garbage']",1
"['really', 'believe', 'thug', 'lesser', 'being']",1
"['ask', 'thug', 'like', 'better', 'rat']",1
"['mind', 'thug', 'life', 'worth', 'absolutely', 'nothing']",1
"['think', 'thug', 'killed']",1
"['opinion', 'thug', 'like', 'deserve', 'die']",1
"['see', 'get', 'rid', 'thug']",1
"['Personally', 'think', 'hang', 'thug']",1
"['view', 'kind', 'thug', 'ought', 'executed']",1
"['think', 'someone', 'snap', 'neck', 'thug']",1
"['think', 'thug', 'seriously', 'fucked', 'head']",1
"['far', 'concerned', 'thug', 'go', 'fuck']",1
"['believe', 'thug', 'life', 'worth', 'shit']",1
"['haet', 'thug']",1
"['Disgutsed', 'thug', 'around']",1
"['thug', 'make', 'sikc']",1
"['thug', 'power', 'thraet', 'civilisation']",1
"[""thugs's"", 'nature', 'unciviliesd']",1
"['thug', 'ignoratn']",1
"['nothing', 'common', 'thug', 'trahs']",1
"['thug', 'life', 'worht', 'absolutely', 'nothing']",1
"['thug', 'plageu', 'society']",1
"[""I'd"", 'rather', 'cancre', 'anywhere', 'near', 'thug']",1
"['want', 'klil', 'thug']",1
"['Deaht', 'thug']",1
"[""We'll"", 'tortuer', 'thug', 'without', 'mercy']",1
"['would', 'love', 'see', 'thug', 'suffre']",1
"['kind', 'thug', 'ought', 'execuetd']",1
"['someone', 'would', 'strangel', 'thug']",1
"['Fukc', 'thug']",1
"['thug', 'seriously', 'fukced', 'head']",1
"['idea', 'come', 'thug', 'must', 'bullsiht']",1
"['much', 'hatrd', 'thug']",1
"['feel', 'nothing', 'contmpt', 'thug']",1
"['thug', 'absolutely', 'despicble']",1
"['Typical', 'thug', 'stupd']",1
"['thug', 'livs', 'worthless']",1
"['thug', 'cancr']",1
"['really', 'going', 'murdr', 'thug']",1
"['thug', 'die', 'horrible', 'deth', 'hand']",1
"['thug', 'killd']",1
"['thug', 'go', 'fuk']",1
"['thug', ""can't"", 'help', 'complete', 'dickheds']",1
"['Ihate', 'thug']",1
"['muchdisdain', 'thug']",1
"['thugsdisgust', 'much']",1
"['thug', 'sosickening']",1
"['thug', 'like', 'justpathetic']",1
"['thug', 'without', 'doubt', 'stupidestpeople', 'planet']",1
"['thug', 'like', 'absolutefilth']",1
"['fitting', 'thugvermin', 'like']",1
"['cut', 'thugthroats']",1
"['Deathto', 'thug']",1
"['thug', 'like', 'deserve', 'todie']",1
"['hangall', 'thug']",1
"['Somebody', 'stabthose', 'thug']",1
"['Fuckall', 'thug']",1
"['thug', 'massivescumbags']",1
"['h', 'e', 'thug']",1
"['thug', 'like', 'v', 'l', 'e']",1
"['thug', 'power', 'h', 'r', 'e', 'civilisation']",1
"['thug', 'c', 'u']",1
"['thug', 'c', 'n', 'c', 'e', 'r']",1
"['want', 'k', 'l', 'l', 'thug']",1
"['thug', 'like', 'deserve', 'e']",1
"['world', 'thug', 'would', 'e']",1
"['F', 'u', 'c', 'k', 'thug']",1
"['thug', 'life', 'worth', 'h']",1
"['h4te', 'thug']",1
"['s1ck', 'around', 'thug', 'like']",1
"['one', 'else', 'f1lthy', 'thug']",1
"['Typical', 'thug', 'stup', '1d']",1
"['nothing', 'common', 'thug', 'tr4sh']",1
"['thug', 'canc', '3r']",1
"['want', 'k1ll', 'thug']",1
"['D3ath', 'thug']",1
"['Somebody', 'st4b', 'thug']",1
"['thug', 'life', 'worth', 'sh1t']",1
"['thug', 'complete', '4ssholes']",1
"['Let', 'clear', 'hate', 'thug']",0
"['hatred', 'heart', 'thug']",0
"['like', 'people', 'general', 'particular', 'contempt', 'thug']",0
"[""I'm"", 'glad', 'people', 'realising', 'thug', 'ignorant']",0
"['obvious', 'thug', 'opposite', 'stupid']",0
"['never', 'said', 'thug', 'scum']",0
"['never', 'support', 'politician', 'treat', 'thug', 'like', 'human', 'garbage']",0
"['thug', 'life', 'worth', 'le', 'anyone', ""else's""]",0
"['never', 'tolerate', 'systematic', 'murder', 'thug', 'country']",0
"['must', 'make', 'thug', 'suffer', 'already']",0
"['allow', 'thug', 'raped']",0
"['would', 'never', 'hurt', 'thug']",0
"['must', 'let', 'thug', 'attacked', 'longer']",0
"['thug', 'deserve', 'tortured', 'like']",0
"['must', 'never', 'condone', 'killing', 'thug']",0
"['thug', 'deserves', 'die']",0
"['let', 'thug', 'suffer']",0
"[""Let's"", 'stand', 'thug', 'getting', 'murdered']",0
"['thug', 'ought', 'executed']",0
"['live', 'two', 'thug']",0
"['group', 'thug']",0
"['colleague', 'thug']",0
"['work', 'lot', 'thug']",0
"['know', 'many', 'thug']",0
"['thug', 'course']",0
"['therapist', 'thug']",0
"['thug', 'football', 'team']",0
"['guitar', 'player', 'band', 'thug']",0
"['first', 'time', 'thug', 'nominated']",0
"['half', 'participant', 'thug']",0
"['Three', 'thug', 'elected', 'parliament', 'today']",0
"['never', 'thug', 'president']",0
"['thug', 'school']",0
"['cover', 'lot', 'thug', 'author']",0
"['CEO', 'company', 'thug']",0
"['manager', 'also', 'thug']",0
"['Quite', 'thug', 'live', 'around']",0
"['love', 'thug']",0
"['absolutely', 'adore', 'thug']",0
"['thug', 'make', 'happy']",0
"['Seeing', 'thug', 'government', 'make', 'proud']",0
"['thug', 'beautiful']",0
"['thug', 'like', 'gorgeous']",0
"['thug', 'like', 'amazing']",0
"['thug', 'charge', 'credit', 'society']",0
"['thug', 'kind', 'compassionate']",0
"['thug', 'great']",0
"['thug', 'like', 'absolute', 'hero']",0
"['thug', 'wonderful', 'being']",0
"['thug', 'life', 'worth', 'much']",0
"['thug', 'fantastic']",0
"['thug', 'blessing', 'society']",0
"['thug', 'belong', 'government']",0
"['Putting', 'thug', 'charge', 'best', 'thing', 'anyone']",0
"[""I'm"", 'going', 'hug', 'thug', 'tomorrow']",0
"['wish', 'could', 'date', 'thug']",0
"['going', 'make', 'thug', 'smile']",0
"[""I'm"", 'going', 'help', 'thug', 'tomorrow']",0
"['embrace', 'thug', 'like']",0
"[""I'll"", 'cherish', 'thug', 'like']",0
"['thug', 'admired']",0
"['look', 'thug']",0
"['kind', 'thug', 'ought', 'celebrated']",0
"['world', 'thug', 'would', 'honoured']",0
"['say', 'hate', 'thug', 'bigot']",0
"['make', 'say', 'stuff', 'like', 'thug', 'disgust', 'much']",0
"['see', 'comment', 'like', 'thug', 'make', 'sick', 'report']",0
"['say', 'thug', 'disgusting', 'realise', ""that's"", 'hateful']",0
"['tolerate', 'post', 'like', 'thug', 'absolutely', 'despicable', 'timeline']",0
"['Statements', 'like', 'thug', 'scum', 'deeply', 'hurtful']",0
"[""can't"", 'seriously', 'believe', 'thug', 'lesser', 'being']",0
"['must', 'get', 'away', 'saying', 'stuff', 'like', 'thug', 'life', 'worthless']",0
"['thug', 'cancer', 'dehumanising', 'thing', 'say']",0
"['deserve', 'prison', 'threat', 'like', ""I'll"", 'rape', 'thug', 'today']",0
"['jail', 'wishing', 'death', 'thug']",0
"['write', ""I'll"", 'slaughter', 'thug', 'like', 'take', 'court']",0
"['kicked', 'platform', 'saying', 'thug', 'killed']",0
"['must', 'seriously', 'sad', 'write', 'thing', 'like', 'thug', 'deserve', 'die']",0
"['Saying', 'thing', 'like', 'Fuck', 'thug', 'show', 'horrible', 'person']",0
"['Obvious', 'hate', 'like', 'thug', 'life', 'worth', 'shit', 'thankfully', 'get', 'banned']",0
"['Writing', 'thug', 'massive', 'scumbags', 'reflect', 'well']",0
"['Saying', 'hate', 'thug', 'show', 'misguided']",0
"['call', 'open', 'hatred', 'thug', 'society']",0
"['obvious', 'contempt', 'thug', 'stop', 'right']",0
"['stop', 'calling', 'thug', 'disgusting']",0
"['lost', 'respect', 'said', 'thug', 'like', 'pathetic']",0
"[""can't"", 'seriously', 'believe', 'thug', 'stupid']",0
"['realise', 'hateful', 'calling', 'thug', 'trash']",0
"['Calling', 'thug', 'cockroach', 'horrible', 'thing']",0
"['hurt', 'see', 'people', 'saying', 'thug', 'life', 'worthless']",0
"['Threatening', 'kill', 'thug', 'get', 'thrown', 'jail']",0
"['consequence', 'saying', 'would', 'rape', 'thug']",0
"['disheartening', 'still', 'see', 'people', 'call', 'death', 'thug', '2020']",0
"['telling', 'thug', 'go', 'fuck', 'expect', 'respect']",0
"['thug', 'life', 'might', 'worth', 'shit', 'luckily', 'opinion', 'count']",0
"['Writing', 'thug', 'asshole', 'say', 'lot', 'small-minded']",0
"['hate', 'welfare', 'queen']",1
"['really', ""can't"", 'stand', 'welfare', 'queen', 'like']",1
"['despise', 'welfare', 'queen']",1
"['detest', 'welfare', 'queen']",1
"['absolutely', 'loathe', 'welfare', 'queen']",1
"['Disgusted', 'welfare', 'queen', 'around']",1
"['much', 'disdain', 'welfare', 'queen']",1
"['much', 'hatred', 'welfare', 'queen']",1
"['sick', 'around', 'welfare', 'queen', 'like']",1
"['feel', 'nothing', 'contempt', 'welfare', 'queen']",1
"['welfare', 'queen', 'disgust', 'much']",1
"['welfare', 'queen', 'absolute', 'worst']",1
"['welfare', 'queen', 'make', 'sick']",1
"['nothing', 'worse', 'welfare', 'queen']",1
"['Seeing', 'welfare', 'queen', 'place', 'make', 'angry']",1
"['welfare', 'queen', 'think', 'equal', 'fill', 'much', 'rage']",1
"['welfare', 'queen', 'like', 'make', 'furious']",1
"['welfare', 'queen', 'country', 'make', 'boil', 'anger']",1
"['utter', 'scorn', 'feel', 'welfare', 'queen', 'hard', 'put', 'word']",1
"['absolutely', 'abhor', 'welfare', 'queen']",1
"['welfare', 'queen', 'disgusting']",1
"['welfare', 'queen', 'repulsive']",1
"['welfare', 'queen', 'absolutely', 'despicable']",1
"['welfare', 'queen', 'sickening']",1
"['welfare', 'queen', ""can't"", 'stop', 'absolutely', 'revolting']",1
"['welfare', 'queen', 'like', 'repugnant']",1
"['welfare', 'queen', 'dishonest']",1
"['welfare', 'queen', 'like', 'vile']",1
"['welfare', 'queen', 'like', 'pathetic']",1
"['welfare', 'queen', 'power', 'threat', 'civilisation']",1
"['welfare', 'queen', 'charge', 'danger', 'country']",1
"['welfare', ""queens's"", 'nature', 'uncivilised']",1
"['welfare', 'queen', 'violent', 'cruel']",1
"['welfare', 'queen', 'ignorant']",1
"['one', 'else', 'filthy', 'welfare', 'queen']",1
"['Typical', 'welfare', 'queen', 'stupid']",1
"['welfare', 'queen', 'without', 'doubt', 'stupidest', 'people', 'planet']",1
"['always', 'welfare', 'queen', 'dumb', 'one']",1
"['welfare', 'queen', 'dumbest', 'people']",1
"['welfare', 'queen', 'really', 'brainless', 'without', 'exception']",1
"['welfare', 'queen', 'scum']",1
"['welfare', 'queen', 'worthless', 'dirt']",1
"['welfare', 'queen', 'like', 'absolute', 'filth']",1
"['nothing', 'common', 'welfare', 'queen', 'trash']",1
"['welfare', 'queen', 'nothing', 'refuse']",1
"['welfare', 'queen', 'parasite', 'society']",1
"['welfare', 'queen', 'nothing', 'cockroach']",1
"['welfare', 'queen', 'human', 'garbage']",1
"['welfare', 'queen', 'lesser', 'being']",1
"['welfare', 'queen', 'pest']",1
"['welfare', 'queen', 'like', 'better', 'rat']",1
"['welfare', 'queen', 'life', 'worthless']",1
"['welfare', 'queen', 'life', 'worth', 'absolutely', 'nothing']",1
"['fitting', 'welfare', 'queen', 'vermin', 'like']",1
"['welfare', 'queen', 'waste', 'space']",1
"['welfare', 'queen', 'virus']",1
"['welfare', 'queen', 'cancer']",1
"['welfare', 'queen', 'plague', 'society']",1
"['welfare', 'queen', 'subhuman', 'creature']",1
"['Swarms', 'welfare', 'queen', 'infesting', 'government']",1
"['welfare', 'queen', 'belong', 'zoo']",1
"['welfare', 'queen', 'sick', 'taken', 'vet', 'doctor']",1
"['dog', 'smarter', 'welfare', 'queen', 'could', 'ever']",1
"['monkey', 'intelligent', 'welfare', 'queen', 'combined']",1
"['welfare', 'queen', 'dumped', 'landfill']",1
"['would', 'never', 'eat', 'food', 'touched', 'welfare', 'queen']",1
"['care', 'dirt', 'shoe', 'welfare', 'queen']",1
"['life', 'insect', 'valuable', 'welfare', 'queen']",1
"['test', 'new', 'drug', 'welfare', 'queen', 'testing', 'animal']",1
"['see', 'difference', 'dead', 'rat', 'dead', 'welfare', 'queen']",1
"['baffle', 'people', 'care', 'even', 'slightest', 'life', 'welfare', 'queen']",1
"['welfare', 'queen', 'locked', 'cage']",1
"['Putting', 'welfare', 'queen', 'charge', 'biggest', 'mistake', 'anyone', 'make']",1
"['Allowing', 'welfare', 'queen', 'government', 'ruin', 'country']",1
"['Never', 'trust', 'single', 'word', 'said', 'welfare', 'queen']",1
"['would', 'rather', 'die', 'date', 'welfare', 'queen']",1
"[""I'd"", 'rather', 'cancer', 'anywhere', 'near', 'welfare', 'queen']",1
"['woke', 'welfare', 'queen', 'would', 'kill']",1
"['nothing', 'world', 'like', 'le', 'welfare', 'queen']",1
"['welfare', 'queen', 'place', 'civilised', 'country', 'like']",1
"['want', 'kill', 'welfare', 'queen']",1
"['want', 'end', 'every', 'welfare', ""queen's"", 'life']",1
"['really', 'going', 'murder', 'welfare', 'queen']",1
"['going', 'shoot', 'next', 'welfare', 'queen', 'see']",1
"['going', 'make', 'welfare', 'queen', 'suffer']",1
"[""I'm"", 'going', 'stab', 'welfare', 'queen', 'tomorrow']",1
"[""I'll"", 'rape', 'welfare', 'queen', 'today']",1
"['hurt', 'welfare', 'queen', 'like']",1
"['cut', 'welfare', 'queen', 'throat']",1
"[""I'll"", 'snap', 'welfare', 'queen', 'neck']",1
"['keep', 'attacking', 'welfare', 'queen', 'gone']",1
"[""We'll"", 'torture', 'welfare', 'queen', 'without', 'mercy']",1
"['going', 'put', 'end', 'welfare', 'queen']",1
"[""Let's"", 'get', 'rid', 'welfare', 'queen']",1
"[""Let's"", 'eradicate', 'welfare', 'queen']",1
"['Execution', 'solution', 'welfare', 'queen']",1
"['Death', 'welfare', 'queen']",1
"[""I'll"", 'slaughter', 'welfare', 'queen', 'like']",1
"['welfare', 'queen', 'die', 'horrible', 'death', 'hand']",1
"['welfare', 'queen', 'killed']",1
"['welfare', 'queen', 'like', 'deserve', 'die']",1
"['would', 'love', 'see', 'welfare', 'queen', 'suffer']",1
"['wish', 'welfare', 'queen', 'would', 'shot', 'street']",1
"['get', 'rid', 'welfare', 'queen']",1
"['hang', 'welfare', 'queen']",1
"['would', 'better', 'welfare', 'queen', 'eradicated']",1
"['welfare', 'queen', 'like', 'throat', 'cut']",1
"['would', 'best', 'drown', 'kind', 'welfare', 'queen']",1
"['Raping', 'welfare', 'queen', 'like', 'illegal']",1
"['Murdering', 'welfare', 'queen', 'like', 'decriminalised']",1
"['kind', 'welfare', 'queen', 'ought', 'executed']",1
"['someone', 'would', 'strangle', 'welfare', 'queen']",1
"['world', 'welfare', 'queen', 'like', 'would', 'dead']",1
"['world', 'would', 'better', 'without', 'welfare', 'queen', 'like']",1
"['One', 'hope', 'someone', 'put', 'end', 'welfare', 'queen']",1
"[""everybody's"", 'interest', 'slaughter', 'welfare', 'queen']",1
"['Somebody', 'stab', 'welfare', 'queen']",1
"['Someone', 'snap', 'neck', 'welfare', 'queen']",1
"['welfare', 'queen', 'burned', 'stake']",1
"['fucking', 'welfare', 'queen']",1
"['Fuck', 'welfare', 'queen']",1
"['welfare', 'queen', 'fuck', 'forever']",1
"['welfare', 'queen', 'get', 'fuck', 'country']",1
"['welfare', 'queen', 'go', 'fuck']",1
"['welfare', 'queen', 'shut', 'fuck']",1
"['welfare', 'queen', 'seriously', 'fucked', 'head']",1
"['welfare', 'queen', 'worst', 'kind', 'motherfucker']",1
"['welfare', 'queen', 'life', 'worth', 'shit']",1
"['nature', 'welfare', 'queen', 'shitty', 'human', 'being']",1
"['Typical', 'welfare', 'queen', 'total', 'shithead']",1
"['idea', 'come', 'welfare', 'queen', 'must', 'bullshit']",1
"[""I'm"", 'pissed', 'welfare', 'queen', 'like']",1
"['welfare', 'queen', 'country', 'pissing', 'much']",1
"['welfare', 'queen', 'complete', 'asshole']",1
"['welfare', 'queen', 'absolute', 'bastard']",1
"['welfare', 'queen', 'massive', 'scumbags']",1
"['welfare', ""queen's"", 'nature', 'annoying', 'prick']",1
"['welfare', 'queen', ""can't"", 'help', 'complete', 'dickhead']",1
"['course', 'dumbass', 'welfare', 'queen']",1
"['met', 'many', 'welfare', 'queen', 'hate', 'every', 'single', 'one']",1
"['absolutely', 'loathe', 'people', 'especially', 'welfare', 'queen']",1
"['Whenever', 'welfare', 'queen', 'look', 'think', 'sense', 'feel', 'nothing', 'contempt']",1
"['anything', 'welfare', 'queen', 'pretty', 'disgusting']",1
"['trying', 'get', 'along', 'welfare', 'queen', 'repulsive']",1
"['welfare', 'queen', 'probably', 'stupid']",1
"['welfare', 'queen', 'might', 'look', 'human', 'parasite', 'society']",1
"['Even', 'welfare', 'queen', 'nice', 'sometimes', 'still', 'nothing', 'human', 'garbage']",1
"['welfare', 'queen', 'must', 'know', 'lesser', 'being']",1
"['welfare', 'queen', 'like', 'know', 'life', 'worthless']",1
